"System.Time","Forecast.Time","Training.Days","Frequncy.Mins","Horizon.Mins","Rsqu","Forecast.Ammonia","Persistence.Ammonia"
"2020-04-12 18:36:51","2020-04-12 18:34:18",4.01527777777778,2,50,0.976000474762384,6.02821781743417,6.89454545454545
"2020-04-12 18:43:01","2020-04-12 18:38:08",4.01527777777778,2,50,0.975913168815896,5.84085633439569,6.62592592592593
"2020-04-12 18:47:15","2020-04-12 18:44:08",4.01527777777778,2,50,0.974668960452248,5.47202385432162,6.59166666666667
"2020-04-12 18:51:03","2020-04-12 18:46:10",4.01527777777778,2,50,0.973876455792658,5.26523641728087,6.54119047619048
"2020-04-12 18:54:57","2020-04-12 18:52:09",4.01527777777778,2,50,0.974112048577177,5.2822912628586,6.43134615384615
"2020-04-12 18:59:03","2020-04-12 18:54:08",4.01527777777778,2,50,0.975530549592603,5.3099018708565,6.41442307692308
"2020-04-12 19:03:18","2020-04-12 18:58:09",4.01527777777778,2,50,0.972943813995527,5.41334556258825,6.27869565217391
"2020-04-12 19:07:15","2020-04-12 19:02:12",4.01527777777778,2,50,0.974145274336922,5.3306041768187,6.10232142857143
"2020-04-12 19:11:05","2020-04-12 19:06:10",4.01527777777778,2,50,0.975334552280663,5.38736192284564,6.16652173913043
"2020-04-12 19:15:13","2020-04-12 19:10:09",4.01527777777778,2,50,0.975902645407429,5.39039143049413,6.100625
"2020-04-12 19:19:08","2020-04-12 19:16:09",4.01527777777778,2,50,0.975164374310656,4.78866811420437,5.9
"2020-04-12 19:23:09","2020-04-12 19:18:11",4.01527777777778,2,50,0.976005101966385,5.10557536311175,5.73386363636364
"2020-04-12 19:27:20","2020-04-12 19:22:12",4.01527777777778,2,50,0.975003825974041,4.90410982132172,5.76
"2020-04-12 19:31:12","2020-04-12 19:26:10",4.01527777777778,2,50,0.975804911096435,4.72413090434073,5.61648148148148
"2020-04-12 19:35:14","2020-04-12 19:32:09",4.01527777777778,2,50,0.974101817377861,5.02632385429993,5.67625
"2020-04-12 19:39:18","2020-04-12 19:34:10",4.01527777777778,2,50,0.974468134969602,4.48671811109441,5.43979166666667
"2020-04-12 19:43:20","2020-04-12 19:38:09",4.01527777777778,2,50,0.97283874168574,4.6133423171229,5.30479166666667
"2020-04-12 19:47:16","2020-04-12 19:44:09",4.01527777777778,2,50,0.976542836560714,4.36258879913863,5.2496
"2020-04-12 19:51:18","2020-04-12 19:48:10",4.01527777777778,2,50,0.97206812263321,4.38123402353595,5.27479166666667
"2020-04-12 19:55:18","2020-04-12 19:50:11",4.01527777777778,2,50,0.977439496202033,4.42811480382906,5.09391304347826
"2020-04-12 19:59:12","2020-04-12 19:54:10",4.01527777777778,2,50,0.976309932472704,4.20429550721678,5.15648148148148
"2020-04-12 20:03:09","2020-04-12 19:58:09",4.01527777777778,2,50,0.978832823947195,4.22356263672536,5.27545454545455
"2020-04-12 20:07:03","2020-04-12 20:02:09",4.01527777777778,2,50,0.977802301847844,4.16249110869267,5.2726
"2020-04-12 20:11:02","2020-04-12 20:06:11",4.01527777777778,2,50,0.978046545620005,3.92079105848297,5.02863636363636
"2020-04-12 20:15:41","2020-04-12 20:10:11",4.01527777777778,2,50,0.978358293452855,3.88265245731841,4.94863636363636
"2020-04-12 20:19:43","2020-04-12 20:16:11",4.01527777777778,2,50,0.979261392308869,3.89346315232945,4.881
"2020-04-12 20:23:19","2020-04-12 20:18:12",4.01527777777778,2,50,0.976716350819859,3.87962207222265,4.7794
"2020-04-12 20:27:27","2020-04-12 20:24:10",4.01527777777778,2,50,0.977638477550714,4.21821886884537,4.76166666666667
"2020-04-12 20:31:40","2020-04-12 20:26:12",4.01527777777778,2,50,0.979316942121123,3.49942653115621,4.67
"2020-04-12 20:36:21","2020-04-12 20:30:12",4.01527777777778,2,50,0.981109067037933,3.83168012822831,4.55788461538462
"2020-04-12 20:39:57","2020-04-12 20:34:32",4.01527777777778,2,50,0.979079780212803,3.599507608105,4.56448275862069
"2020-04-12 20:43:54","2020-04-12 20:38:11",4.01527777777778,2,50,0.980506089934925,3.87623681288503,4.4714
"2020-04-12 20:47:33","2020-04-12 20:44:10",4.01527777777778,2,50,0.980667081826008,4.00031658003426,4.41818181818182
"2020-04-12 20:51:29","2020-04-12 20:46:11",4.01527777777778,2,50,0.980694354542886,3.61207350559937,4.17727272727273
"2020-04-12 20:55:27","2020-04-12 20:50:12",4.01527777777778,2,50,0.980855626623942,3.50642369849084,4.141875
"2020-04-12 20:59:58","2020-04-12 20:54:11",4.01527777777778,2,50,0.981211244848577,3.54427894209444,3.87866666666667
"2020-04-12 21:03:21","2020-04-12 21:00:12",4.01527777777778,2,50,0.979580726353006,3.40416977317027,3.90921052631579
"2020-04-12 21:07:37","2020-04-12 21:02:10",4.01527777777778,2,50,0.978783738102805,2.87457683942801,3.78333333333333
"2020-04-12 21:11:28","2020-04-12 21:06:12",4.01527777777778,2,50,0.979434015606959,3.09551610257231,3.69026315789474
"2020-04-12 21:15:18","2020-04-12 21:10:10",4.01527777777778,2,50,0.980327795335514,3.26226397099291,3.70411764705882
"2020-04-12 21:19:31","2020-04-12 21:16:11",4.01527777777778,2,50,0.979587295398581,3.48730012808904,3.71909090909091
"2020-04-12 21:22:52","2020-04-12 21:18:10",4.01527777777778,2,50,0.979493389144759,3.35600757622593,3.77176470588235
"2020-04-12 21:26:50","2020-04-12 21:22:10",4.01527777777778,2,50,0.979798521317664,3.64453678108763,3.9725
"2020-04-12 21:30:57","2020-04-12 21:26:09",4.01527777777778,2,50,0.980718934016818,3.64057521055492,3.96809523809524
